Month,Interest Rate
2016-01,6
2016-02,6
2016-03,6
2016-04,6
2016-05,5.75
2016-06,5.75
2016-07,5.75
2016-08,5.75
2016-09,5.75
2016-10,5.75
2016-11,5.75
2016-12,5.75
2017-01,5.75
2017-02,5.75
2017-03,5.75
2017-04,5.75
2017-05,5.75
2017-06,5.75
2017-07,5.75
2017-08,5.75
2017-09,5.75
2017-10,5.75
2017-11,5.75
2017-12,5.75
2018-01,6
2018-02,6
2018-03,6
2018-04,6
2018-05,6.5
2018-06,6.5
2018-07,7.5
2018-08,7.5
2018-09,8.5
2018-10,8.5
2018-11,10
2018-12,10
2019-01,10.25
2019-02,10.25
2019-03,10.75
2019-04,10.75
2019-05,12.25
2019-06,12.25
2019-07,13.25
2019-08,13.25
2019-09,13.25
2019-10,13.25
2019-11,13.25
2019-12,13.25
2020-01,13.25
2020-02,13.25
2020-03,11.75
2020-04,9
2020-05,8
2020-06,7
2020-07,7
2020-08,7
2020-09,7
2020-10,7
2020-11,7
2020-12,7
2021-01,7
2021-02,7
2021-03,7
2021-04,7
2021-05,7
2021-06,7
2021-07,7
2021-08,7
2021-09,7.25
2021-10,7.25
2021-11,8.75
2021-12,9.75
2022-01,9.75
2022-02,9.75
2022-03,9.75
2022-04,12.25
2022-05,13.75
2022-06,14.75
2022-07,15
2022-08,15
2022-09,15
2022-10,15
2022-11,16
2022-12,16
2023-01,17
2023-02,17
2023-03,20
2023-04,21
2023-05,21
2023-06,21.5
2023-07,22
2023-08,22
2023-09,22
2023-10,22
2023-11,22
2023-12,22
2024-01,22
2024-02,22
2024-03,22
2024-04,22
2024-05,22
2024-06,20.5
2024-07,19.5
2024-08,18
2024-09,17.5
2024-10,17.5
2024-11,15
2024-12,13
